Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,BALL LOST,HEAD-INTERCEPTION,1,15898,635.92,15942,637.68,Player19,,0.66,0.83,0.75,0.7
Away,PASS,,1,16036,641.44,16059,642.36,Player23,Player21,0.68,0.76,0.59,0.74
Away,PASS,,1,16112,644.48,16149,645.96,Player21,Player18,0.61,0.64,0.63,0.2
Away,BALL LOST,INTERCEPTION,1,16200,648.0,16205,648.2,Player18,,0.74,0.18,0.77,0.2
Away,BALL LOST,INTERCEPTION,1,16254,650.16,16265,650.6,Player20,,0.66,0.34,0.61,0.34
Away,PASS,,1,16567,662.68,16632,665.28,Player25,Player15,0.06,0.5,0.17,0.75
Away,PASS,,1,16643,665.72,16683,667.32,Player15,Player21,0.19,0.77,0.25,0.7
Away,PASS,,1,16692,667.68,16742,669.68,Player21,Player15,0.25,0.71,0.3,0.9
Away,PASS,,1,16762,670.48,16792,671.68,Player15,Player16,0.3,0.9,0.21,0.74
Away,PASS,,1,16832,673.28,16870,674.8,Player16,Player20,0.24,0.71,0.3,0.45
Away,PASS,,1,16970,678.8,17015,680.6,Player20,Player22,0.47,0.3,0.73,0.07
Away,PASS,,1,17080,683.2,17100,684.0,Player22,Player24,0.84,0.17,0.83,0.36
Away,BALL LOST,THEFT,1,17113,684.52,17113,684.52,Player24,,0.84,0.37,,
Away,PASS,,1,17157,686.28,17193,687.72,Player20,Player22,0.78,0.37,0.86,0.17
Away,PASS,,1,17220,688.8,17242,689.68,Player22,Player18,0.85,0.17,0.75,0.2
Away,PASS,,1,17272,690.88,17302,692.08,Player18,Player22,0.75,0.2,0.84,0.09
Away,PASS,,1,17330,693.2,17355,694.2,Player22,Player18,0.84,0.12,0.82,0.27
Away,PASS,,1,17355,694.2,17372,694.88,Player18,Player22,0.82,0.27,0.8,0.2
Away,PASS,,1,17377,695.08,17402,696.08,Player22,Player20,0.8,0.22,0.76,0.41
Away,PASS,,1,17428,697.12,17505,700.2,Player20,Player19,0.77,0.43,0.86,0.89
Away,PASS,,1,17544,701.76,17566,702.64,Player19,Player15,0.84,0.96,0.74,0.9
