Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,PASS,,1,9331,373.24,9373,374.92,Player3,Player5,0.55,0.63,0.5,0.24
Home,PASS,,1,9399,375.96,9429,377.16,Player5,Player1,0.49,0.22,0.38,0.03
Home,PASS,,1,9459,378.36,9474,378.96,Player1,Player5,0.4,0.05,0.49,0.13
Home,BALL LOST,INTERCEPTION,1,9474,378.96,9483,379.32,Player5,,0.49,0.13,0.46,0.28
Home,PASS,,1,9523,380.92,9539,381.56,Player3,Player6,0.54,0.44,0.48,0.36
Home,PASS,,1,9579,383.16,9612,384.48,Player6,Player2,0.49,0.39,0.65,0.4
Home,PASS,,1,9612,384.48,9649,385.96,Player2,Player4,0.65,0.4,0.58,0.62
Home,PASS,,1,9688,387.52,9715,388.6,Player4,Player10,0.55,0.67,0.31,0.53
Home,PASS,,1,9760,390.4,9810,392.4,Player10,Player8,0.28,0.64,0.19,0.95
Home,BALL LOST,INTERCEPTION,1,9905,396.2,9920,396.8,Player8,,0.08,0.79,0.06,0.56
Home,BALL LOST,INTERCEPTION,1,10463,418.52,10508,420.32,Player5,,0.08,1.0,0.04,0.58
Home,PASS,,1,10715,428.6,10765,430.6,Player4,Player2,0.36,1.0,0.52,0.83
Home,PASS,,1,10886,435.44,10921,436.84,Player2,Player6,0.52,0.69,0.54,0.39
Home,PASS,,1,11008,440.32,11028,441.12,Player6,Player5,0.42,0.24,0.29,0.19
Home,BALL LOST,INTERCEPTION,1,11063,442.52,11101,444.04,Player5,,0.26,0.15,0.14,0.45
Home,PASS,,1,11159,446.36,11199,447.96,Player6,Player4,0.35,0.34,0.44,0.56
Home,PASS,,1,11275,451.0,11318,452.72,Player4,Player8,0.39,0.62,0.29,0.97
Home,PASS,,1,11387,455.48,11417,456.68,Player8,Player4,0.25,0.94,0.32,0.84
Home,BALL LOST,INTERCEPTION,1,11441,457.64,11476,459.04,Player4,,0.32,0.83,0.23,0.29
Home,PASS,,1,11647,465.88,11685,467.4,Player7,Player10,0.37,0.51,0.3,0.5
Home,PASS,,1,11685,467.4,11703,468.12,Player10,Player5,0.3,0.5,0.33,0.44
Home,PASS,,1,11721,468.84,11744,469.76,Player5,Player9,0.31,0.44,0.21,0.39
Home,PASS,,1,11810,472.4,11885,475.4,Player9,Player8,0.19,0.49,0.13,0.87
Home,PASS,,1,11958,478.32,11976,479.04,Player8,Player9,0.11,0.86,0.1,0.72
Home,PASS,,1,11976,479.04,11994,479.76,Player9,Player8,0.1,0.72,0.14,0.8
Home,PASS,,1,12069,482.76,12146,485.84,Player8,Player1,0.23,0.61,0.15,0.15
Home,PASS,CROSS,1,12180,487.2,12202,488.08,Player1,Player10,0.12,0.21,0.05,0.55
Home,PASS,,1,14278,571.12,14293,571.72,Player6,Player4,0.8,0.94,0.85,0.9
Home,PASS,,1,14293,571.72,14319,572.76,Player4,Player7,0.85,0.9,0.78,0.86
Home,PASS,,1,14339,573.56,14366,574.64,Player7,Player4,0.78,0.86,0.88,0.91
Home,PASS,,1,14447,577.88,14472,578.88,Player4,Player6,0.83,0.89,0.79,0.97
Home,BALL LOST,THEFT,1,14550,582.0,14550,582.0,Player6,,0.7,0.98,,
Home,PASS,,1,14844,593.76,14902,596.08,Player4,Player3,0.65,1.01,0.83,0.83
Home,PASS,,1,14921,596.84,14971,598.84,Player3,Player11,0.84,0.81,0.96,0.49
Home,BALL LOST,INTERCEPTION,1,15023,600.92,15096,603.84,Player11,,0.98,0.37,0.59,0.03
Home,PASS,,1,15153,606.12,15190,607.6,Player5,Player2,0.68,0.13,0.75,0.11
Home,PASS,,1,15194,607.76,15212,608.48,Player2,Player1,0.75,0.1,0.69,0.02
Home,BALL OUT,,1,15212,608.48,15254,610.16,Player1,,0.69,0.02,0.73,-0.01
Home,PASS,HEAD,1,15938,637.52,15967,638.68,Player3,Player7,0.75,0.69,0.67,0.65
Home,PASS,,1,15967,638.68,16000,640.0,Player7,Player4,0.67,0.65,0.69,0.87
Home,PASS,,1,16000,640.0,16024,640.96,Player4,Player7,0.69,0.87,0.67,0.72
Home,BALL LOST,THEFT,1,16038,641.52,16038,641.52,Player7,,0.67,0.73,,
Home,BALL LOST,INTERCEPTION,1,16203,648.12,16261,650.44,Player5,,0.77,0.23,0.63,0.34
Home,PASS,,1,16388,655.52,16435,657.4,Player9,Player10,0.37,0.49,0.18,0.33
Home,BALL LOST,INTERCEPTION,1,17109,684.36,17156,686.24,Player7,,0.83,0.39,0.79,0.35
Home,PASS,,1,18268,730.72,18291,731.64,Player8,Player7,0.8,1.0,0.8,0.86
Home,BALL LOST,INTERCEPTION,1,18306,732.24,18341,733.64,Player7,,0.79,0.87,0.67,0.65
Home,PASS,,1,18415,736.6,18450,738.0,Player6,Player11,0.78,0.59,0.95,0.52
Home,BALL LOST,,1,18450,738.0,18480,739.2,Player11,,0.95,0.52,0.76,0.31
Home,BALL OUT,,1,18521,740.84,18540,741.6,Player2,,0.86,0.42,1.02,0.45
Home,BALL LOST,HEAD,1,19529,781.16,19610,784.4,Player6,,0.94,0.52,0.86,0.85
Home,PASS,,1,19677,787.08,19720,788.8,Player4,Player5,0.9,0.65,0.85,0.49
Home,BALL LOST,HEAD-INTERCEPTION,1,19720,788.8,19776,791.04,Player5,,0.85,0.49,0.69,0.42
Home,PASS,,1,19931,797.24,19953,798.12,Player1,Player8,0.8,0.11,0.6,0.19
Home,PASS,,1,20065,802.6,20123,804.92,Player8,Player9,0.52,0.25,0.52,0.82
Home,PASS,,1,20167,806.68,20195,807.8,Player9,Player6,0.47,0.85,0.46,0.7
Home,PASS,,1,20234,809.36,20244,809.76,Player6,Player8,0.44,0.69,0.38,0.71
Home,PASS,,1,20244,809.76,20263,810.52,Player8,Player9,0.38,0.71,0.42,0.75
Home,PASS,,1,20282,811.28,20321,812.84,Player9,Player8,0.41,0.75,0.36,0.87
Home,PASS,,1,20326,813.04,20354,814.16,Player8,Player4,0.36,0.88,0.45,0.83
Home,PASS,,1,20379,815.16,20404,816.16,Player4,Player8,0.44,0.86,0.36,0.96
Home,PASS,,1,20442,817.68,20484,819.36,Player8,Player4,0.36,0.96,0.45,0.91
Home,PASS,,1,20494,819.76,20544,821.76,Player4,Player3,0.45,0.9,0.55,0.7
Home,PASS,,1,20544,821.76,20564,822.56,Player3,Player6,0.55,0.7,0.46,0.67
